2026-07-01 14:39:10 [INFO] START | dry_run=False resume=False filter=None
2026-07-01 14:39:10 [INFO] [0] Memeriksa koneksi database
2026-07-01 14:39:10 [INFO] Terhubung ke 'fkp_db' @ localhost:5432
2026-07-01 14:39:10 [INFO] Semua tabel ditemukan: provinsi, kabupaten_kota, kecamatan, kelurahan
2026-07-01 14:39:10 [INFO] [0b] Memeriksa koneksi API
2026-07-01 14:39:13 [INFO] API OK — 38 provinsi tersedia
2026-07-01 14:39:13 [INFO] [1] Membuka koneksi PostgreSQL
2026-07-01 14:39:13 [INFO] Koneksi berhasil
2026-07-01 14:39:13 [INFO] [2] Membersihkan tabel
2026-07-01 14:39:13 [INFO] Semua tabel dikosongkan
2026-07-01 14:39:44 [INFO]       17 kelurahan di Serbajadi
2026-07-01 14:39:44 [INFO]     KEC [110306] Nurussalam
2026-07-01 14:39:45 [INFO]       31 kelurahan di Nurussalam
2026-07-01 14:39:45 [INFO]     KEC [110307] Peureulak
2026-07-01 14:39:46 [INFO]       38 kelurahan di Peureulak
2026-07-01 14:39:46 [INFO]     KEC [110308] Rantau Selamat
2026-07-01 14:39:47 [INFO]       14 kelurahan di Rantau Selamat
2026-07-01 14:39:47 [INFO]     KEC [110309] Simpang Ulim
2026-07-01 14:39:48 [INFO]       23 kelurahan di Simpang Ulim
2026-07-01 14:39:48 [INFO]     KEC [110310] Ranto Peureulak
2026-07-01 14:39:48 [INFO]       23 kelurahan di Ranto Peureulak
2026-07-01 14:39:48 [INFO]     KEC [110311] Pante Bidari
2026-07-01 14:39:49 [INFO]       25 kelurahan di Pante Bidari
2026-07-01 14:39:49 [INFO]     KEC [110312] Madat
2026-07-01 14:39:49 [INFO]       26 kelurahan di Madat
2026-07-01 14:39:49 [INFO]     KEC [110313] Indra Makmu
2026-07-01 14:39:50 [INFO]       13 kelurahan di Indra Makmu
2026-07-01 14:39:50 [INFO]     KEC [110314] Idi Tunong
2026-07-01 14:39:50 [INFO]       25 kelurahan di Idi Tunong
2026-07-01 14:39:50 [INFO]     KEC [110315] Banda Alam
2026-07-01 14:39:51 [INFO]       16 kelurahan di Banda Alam
2026-07-01 14:39:51 [INFO]     KEC [110316] Peudawa
2026-07-01 14:39:52 [INFO]       17 kelurahan di Peudawa
2026-07-01 14:39:52 [INFO]     KEC [110317] Peureulak Timur
2026-07-01 14:39:52 [INFO]       20 kelurahan di Peureulak Timur
2026-07-01 14:39:52 [INFO]     KEC [110318] Peureulak Barat
2026-07-01 14:39:53 [INFO]       15 kelurahan di Peureulak Barat
2026-07-01 14:39:53 [INFO]     KEC [110319] Sungai Raya
2026-07-01 14:39:53 [INFO]       13 kelurahan di Sungai Raya
2026-07-01 14:39:53 [INFO]     KEC [110320] Simpang Jernih
2026-07-01 14:39:54 [INFO]       8 kelurahan di Simpang Jernih
2026-07-01 14:39:54 [INFO]     KEC [110321] Darul Ihsan
2026-07-01 14:39:55 [INFO]       16 kelurahan di Darul Ihsan
2026-07-01 14:39:55 [INFO]     KEC [110322] Darul Falah
2026-07-01 14:39:55 [INFO]       11 kelurahan di Darul Falah
2026-07-01 14:39:55 [INFO]     KEC [110323] Idi Timur
2026-07-01 14:39:56 [INFO]       13 kelurahan di Idi Timur
2026-07-01 14:39:56 [INFO]     KEC [110324] Peunaron
2026-07-01 14:39:56 [INFO]       5 kelurahan di Peunaron
2026-07-01 14:39:56 [INFO]   KAB [1104] Kabupaten Aceh Tengah
2026-07-01 14:39:57 [INFO]     KEC [110401] Linge
2026-07-01 14:39:58 [INFO]       26 kelurahan di Linge
2026-07-01 14:39:58 [INFO]     KEC [110402] Silih Nara
2026-07-01 14:39:58 [INFO]       33 kelurahan di Silih Nara
2026-07-01 14:39:58 [INFO]     KEC [110403] Bebesen
2026-07-01 14:39:59 [INFO]       28 kelurahan di Bebesen
2026-07-01 14:39:59 [INFO]     KEC [110407] Pegasing
2026-07-01 14:40:00 [INFO]       31 kelurahan di Pegasing
2026-07-01 14:40:00 [INFO]     KEC [110408] Bintang
2026-07-01 14:40:00 [INFO]       24 kelurahan di Bintang
2026-07-01 14:40:00 [INFO]     KEC [110410] Ketol
2026-07-01 14:40:01 [INFO]       25 kelurahan di Ketol
2026-07-01 14:40:01 [INFO]     KEC [110411] Kebayakan
2026-07-01 14:40:01 [INFO]       20 kelurahan di Kebayakan
2026-07-01 14:40:01 [INFO]     KEC [110412] Kute Panang
2026-07-01 14:40:02 [INFO]       24 kelurahan di Kute Panang
2026-07-01 14:40:02 [INFO]     KEC [110413] Celala
2026-07-01 14:40:03 [INFO]       17 kelurahan di Celala
2026-07-01 14:40:03 [INFO]     KEC [110417] Laut Tawar
2026-07-01 14:40:03 [INFO]       18 kelurahan di Laut Tawar
2026-07-01 14:40:03 [INFO]     KEC [110418] Atu Lintang
2026-07-01 14:40:04 [INFO]       11 kelurahan di Atu Lintang
2026-07-01 14:40:04 [INFO]     KEC [110419] Jagong Jeget
2026-07-01 14:40:04 [INFO]       10 kelurahan di Jagong Jeget
2026-07-01 14:40:04 [INFO]     KEC [110420] Bies
2026-07-01 14:40:05 [INFO]       12 kelurahan di Bies
2026-07-01 14:40:05 [INFO]     KEC [110421] Rusip Antara
2026-07-01 14:40:05 [INFO]       16 kelurahan di Rusip Antara
2026-07-01 14:40:05 [INFO]   KAB [1105] Kabupaten Aceh Barat
2026-07-01 14:40:06 [INFO]     KEC [110501] Johan Pahlawan
2026-07-01 14:40:06 [INFO]       21 kelurahan di Johan Pahlawan
2026-07-01 14:40:07 [INFO]     KEC [110502] Kaway XVI
2026-07-01 14:40:07 [INFO]       44 kelurahan di Kaway XVI
2026-07-01 14:40:07 [INFO]     KEC [110503] Sungai Mas
2026-07-01 14:40:08 [INFO]       18 kelurahan di Sungai Mas
2026-07-01 14:40:08 [INFO]     KEC [110504] Woyla
2026-07-01 14:40:08 [INFO]       43 kelurahan di Woyla
2026-07-01 14:40:08 [INFO]     KEC [110505] Samatiga
2026-07-01 14:40:09 [INFO]       32 kelurahan di Samatiga
2026-07-01 14:40:09 [INFO]     KEC [110506] Bubon
2026-07-01 14:40:09 [INFO]       17 kelurahan di Bubon
2026-07-01 14:40:09 [INFO]     KEC [110507] Arongan Lambalek
2026-07-01 14:40:10 [INFO]       27 kelurahan di Arongan Lambalek
2026-07-01 14:40:10 [INFO]     KEC [110508] Pante Ceureumen
2026-07-01 14:40:10 [INFO]       25 kelurahan di Pante Ceureumen
2026-07-01 14:40:10 [INFO]     KEC [110509] Meureubo
2026-07-01 14:40:11 [INFO]       26 kelurahan di Meureubo
2026-07-01 14:40:11 [INFO]     KEC [110510] Woyla Barat
2026-07-01 14:40:12 [INFO]       24 kelurahan di Woyla Barat
2026-07-01 14:40:12 [INFO]     KEC [110511] Woyla Timur
2026-07-01 14:40:12 [INFO]       26 kelurahan di Woyla Timur
2026-07-01 14:40:12 [INFO]     KEC [110512] Panton Reu
2026-07-01 14:40:13 [INFO]       19 kelurahan di Panton Reu
2026-07-01 14:40:13 [INFO]   KAB [1106] Kabupaten Aceh Besar
2026-07-01 14:40:13 [INFO]     KEC [110601] Lhoong
2026-07-01 14:40:14 [INFO]       28 kelurahan di Lhoong
2026-07-01 14:40:14 [INFO]     KEC [110602] Lhoknga
2026-07-01 14:40:14 [INFO]       28 kelurahan di Lhoknga
2026-07-01 14:40:14 [INFO]     KEC [110603] Indrapuri
2026-07-01 14:40:15 [INFO]       52 kelurahan di Indrapuri
2026-07-01 14:40:15 [INFO]     KEC [110604] Seulimeum
2026-07-01 14:40:16 [INFO]       47 kelurahan di Seulimeum
2026-07-01 14:40:16 [INFO]     KEC [110605] Montasik
2026-07-01 14:40:16 [INFO]       39 kelurahan di Montasik
2026-07-01 14:40:16 [INFO]     KEC [110606] Sukamakmur
2026-07-01 14:40:17 [INFO]       35 kelurahan di Sukamakmur
2026-07-01 14:40:17 [INFO]     KEC [110607] Darul Imarah
2026-07-01 14:40:17 [INFO]       32 kelurahan di Darul Imarah
2026-07-01 14:40:17 [INFO]     KEC [110608] Peukan Bada
2026-07-01 14:40:18 [INFO]       26 kelurahan di Peukan Bada
2026-07-01 14:40:18 [INFO]     KEC [110609] Mesjid Raya
2026-07-01 14:40:18 [INFO]       13 kelurahan di Mesjid Raya
2026-07-01 14:40:18 [INFO]     KEC [110610] Ingin Jaya
2026-07-01 14:40:19 [INFO]       50 kelurahan di Ingin Jaya
2026-07-01 14:40:19 [INFO]     KEC [110611] Kuta Baro
2026-07-01 14:40:20 [INFO]       47 kelurahan di Kuta Baro
